content,segmentId,start,end,Duration
"Hello Yuna. I'm Melina. I need some help with setting up my account, resetting my password, and resolving some account-related issues. Can you guide me through this?",100002,13.12,26.08,12.96
"My username is Line Way one, two, three.",100005,53.485,57.957,4.47
"Firstly, I'm having a trouble setting up my account and tried following the instructions online, but I seem to be stuck a certain step first.",100009,82.274,92.855,10.58
I'm having trouble verifying my email address during the registration process. I'm not receiving the verification email in my email.,100012,119.062,128.528,9.47
"Yes, please I appreciate your assistance in verifying my email address.",100016,156.113,160.777,4.66
"Thank you for your guidance. Yuna, I will give it a try. And let you know If I if encounter any issue.",100020,201.125,207.706,6.58
"Actually, Yes. I forgot my account password and I need to reset it.",100023,230.026,235.347,5.32
"That is straightforward. I follow those steps to resend my password. Lastly, I have a few account related issues regarding payment information and accessing.",100028,274.226,286.58,12.35
Certain features.,100029,287.586,288.757,1.17
I appreciate that I'll be reaching out to the support team for assistance with this issue.,100032,308.062,313.9,5.84
"No, that's all for now. You know thank you for your help and guidance. It's been very informative.",100035,340.141,346.115,5.97
